video_id,author,like_count,published_at,text,clean_text,sentiment_score,sentiment_label,keyphrases,barriers,topics
MdI191-vNlc,@UndecidedMF,70,2021-11-23T13:16:53Z,"Do you think looking at wind technologies like these is the way to go? Any other technologies worth looking into? Get Air Health's Skye for your home today! bit.ly/air-health.

If you liked this video, check out ""Why the Airship May Be the Future of Air Travel"" https://youtu.be/_phicOPoQT8?list=PLnTSM-ORSgi4SraAVSwM4jMTJxjDh0xpf",do you think looking at wind technologies like these is the way to go any other technologies worth looking into get air health's skye for your home today bit ly air-health if you liked this video check out why the airship may be the future of air travel,0.8689,Positive,air|looking|technologies|health|air health|think,,wind|ship
MdI191-vNlc,@marc_hennes,0,2025-10-29T06:48:14Z,"Very cool video! The Neoliner Origin is another ship, unfortunately she sustained storm damage on her 1st voyage across the Atlantic Ocean, and that's why I made a highly detailed video about their rough crossing and what happened, from a deck officer's perspective. For those interested what happened, enjoy the new video on my channel :)",very cool video the neoliner origin is another ship unfortunately she sustained storm damage on her 1st voyage across the atlantic ocean and that's why i made a highly detailed video about their rough crossing and what happened from a deck officer's perspective for those interested what happened enjoy the new video on my channel,0.4391,Positive,video|happened|cool|neoliner|origin|another,,ship
MdI191-vNlc,@ventura1957,0,2025-09-08T10:42:21Z,"Three years later, we are in 2025 and I still haven't seen this dream come through.",three years later we are in 2025 and i still haven't seen this dream come through,0.3071,Positive,three|years|later|still|seen|dream,,
MdI191-vNlc,@barriegregory6606,0,2025-08-04T18:33:46Z,But they can't shop perishables or even cars as the cars would be obsolete before they finally made their destination.,but they can't shop perishables or even cars as the cars would be obsolete before they finally made their destination,-0.4215,Negative,cars|shop|perishables|even|would|obsolete,,
MdI191-vNlc,@student2317,1,2025-07-22T18:14:26Z,I think using nuclear is better than wind if you want to like reduce carbon emission,i think using nuclear is better than wind if you want to like reduce carbon emission,0.6908,Positive,think|using|nuclear|better|wind|want,,wind
MdI191-vNlc,@rhyskillz4525,0,2025-07-21T20:22:36Z,Vacuum bomb in atmosphere,vacuum bomb in atmosphere,-0.4939,Negative,vacuum|bomb|atmosphere|vacuum bomb|bomb atmosphere,,
MdI191-vNlc,@klausbrinck2137,0,2025-06-18T17:25:13Z,"8:07 Not  anEmo-i  but  A-nemee  (the stress on the ""A"")... ""Winds"" in Greek. ""oi"" is pronounced ""ee"" in Greek. 
Flettner-Rotors need a disc of aero-foils at each top and bottom, to unfold their potential, strange that they went for plain turning tubes, without even endplates (even if disc of aero-foils was too complicated, having endplates still helps a lot)",8 07 not anemo-i but a-nemee the stress on the a winds in greek oi is pronounced ee in greek flettner-rotors need a disc of aero-foils at each top and bottom to unfold their potential strange that they went for plain turning tubes without even endplates even if disc of aero-foils was too complicated having endplates still helps a lot,-0.0772,Negative,greek|disc|aero|foils|even|endplates,,wind
MdI191-vNlc,@srgriffith,2,2025-02-18T01:45:07Z,It makes perfect sense. Old methods of sailing were inefficient as they didn’t take advantage of aerodynamic lift.   Modern systems with optimized electromechanical controls should be very efficient.  Especially kite based system that get well above the boundary layer.,it makes perfect sense old methods of sailing were inefficient as they didn t take advantage of aerodynamic lift modern systems with optimized electromechanical controls should be very efficient especially kite based system that get well above the boundary layer,0.9168,Positive,makes|perfect|sense|old|methods|sailing,,
MdI191-vNlc,@fisherholmsfly,0,2024-12-30T13:26:18Z,"I’m giggling because you just said that wind power shipping technology is still in pilot stages!! Bro, we need to get Moana up here to show us how to move boats with wind.",i m giggling because you just said that wind power shipping technology is still in pilot stages bro we need to get moana up here to show us how to move boats with wind,0.3612,Positive,wind|giggling|said|power|shipping|technology,,wind|ship
MdI191-vNlc,@wildbill6976,0,2024-12-24T23:15:33Z,"2050 = thank you for your amazon order, you package will arrive next year...",2050 thank you for your amazon order you package will arrive next year,0.4939,Positive,thank|amazon|order|package|arrive|next,,
