comment,sentiment
think looking wind technology like way go technology worth looking get air health skye home today bitlyairhealth liked video check airship may future air travel,Positive
cool video neoliner origin another ship unfortunately sustained storm damage st voyage across atlantic ocean thats made highly detailed video rough crossing happened deck officer perspective interested happened enjoy new video channel,Positive
three year later still havent seen dream come,Negative
cant shop perishable even car car would obsolete finally made destination,Negative
think using nuclear better wind want like reduce carbon emission,Positive
vacuum bomb atmosphere,Negative
anemoi anemee stress wind greek oi pronounced ee greek flettnerrotors need disc aerofoil top bottom unfold potential strange went plain turning tube without even endplate even disc aerofoil complicated endplate still help lot,Neutral
make perfect sense old method sailing inefficient didnt take advantage aerodynamic lift modern system optimized electromechanical control efficient especially kite based system get well boundary layer,Positive
im giggling said wind power shipping technology still pilot stage bro need get moana show u move boat wind,Positive
thank amazon order package arrive next year,Positive
cross hard sail magnus effect generating rotating tower efficient design aero physic work,Positive
would appear raise center gravity closer center buoyancy decreasing stability,Neutral
wonder sort sailtug could work mean like kite kite stay floating water main cargo ship need modification could designed smaller engine fuel tank sailtug superficially look like tall sailboat keel instead line cargo ship act like kite line cargo ship entire hull act like keel since line go horizontally cargo ship there heeling even sail tall sailtug could built le initial investment could hook different unmodified cargo ship client fly even possible skip time needed loadunload cargo detaching client ship unload cargo immediately hooking different client ship thats departing,Positive
know people devolving backwards sad see scientist world dumbest people world make wind power boat say future transportation would like go back time tell ancestor people day,Negative
full circle,Neutral
already technology shiping without creating polultion called nuclear power,Negative
im sailing enthusiast cargo ship add co moving good consume world think good efficient way move huge cargo,Positive
soon went rant sponsor left channel enough commercial already,Negative
chance hell,Negative
say lift wingsail come asymmetrical wingshape untrue symmetrical wingshape also work think aerobatic plane fly upside symmetrical airfoil symmetrical airfoil produce plenty lift b bomber ww symmetrical wing problem carrying heavy weight,Negative
cargo ship set sail test wind power sea,Neutral
might get bonus government might try something else put one hundred meter one hundred meter sail mph wind would one billion watt wind energy trying get ten thousand square meter sail area turned engine sailed downwind efficiency propeller might generate million watt electricity kg hydrogen per second efficienct electrolysis kept constant heading slightly towards eye hurricane would gradualky get closer eye wall wind stronger hurricane would carry thousand mile hurricane lasted ten day would generate million kg hydrogen equivalent barrel oil equivalent day ofuel container ship wave always behind would surf huge wave instead slamming bow kg might make money sailing around hurricane tropical storm selling hydrogen delivering cargo something much smaller cargo ship might accomplish two parallel cylinder maybe ten meter diameter two hundred meter long arranged like catamaran migh work big fin wing like structure two cylinder slightly bouyant could slide wave meter surface streamlined narrow support structure slicing foot wave little resistance disturbance wave right kind prpelkers submerged cylinder might get effuciency ior million watt available wind energy season hurricane woukd add hundred million dollar figuring tropical storm might bring uo million vessel might make billion dollar wirth hydrogen one hurricane season,Positive
wrong fact methanol,Negative
thought like use wind use solarpanels became light could easy implemented ship sea reflects sun would placed site,Positive
nuclear cargo shipping thnk wind power clean cheaper knew nothing shipping,Positive
think technological advance need review old tech make sure havent thrown baby bath water,Positive
reason sailing ship relegated tourist boat historic ship world navy moment alternative sail available sail gone ship although futuristic looking pretty infected issue original sail ship thay half developed bad idea amd green tech use need allow society decay simply isnt worth price see climate change unprovable backwards facing technology pointless exists serve half baked scientific theory half developed technology based argument weak government called settled science avoid argument criticism climate isnt settled anything proved without time machine sailing ship slow inefficient unreliable sail wind blow sometimes simply dosent common sense wish go back live cave stop silly woke child get better educated grow,Negative
matter much try reduce emission maritime contributes could never overcome climate change problem due meat production necessitates deforestation transportation packaging,Negative
power wind amazing look wasted power use god free wind push ship wind going way thick coool mol container ship route planner preplan trip direction tide wind,Positive
great innovative idea learn different test theory conceptsthis show inspire concept test thanks sharing new conceptshopefully try neat idea new washington state ferry new hybrid ferriesmany god prayer,Positive
amount incorrect visuals video head spinning,Neutral
mean tell wind power past present future sea travel,Neutral
actually giggle read title video someone belief future ocean cargo transportationwelllets say wouldnt ride car driving,Positive
post apocalyptic hellscape people wear pant made fish skin matter wind technology use still come issue caused age sail end wind unreliable doesnt go want often,Negative
year ago found wind sail work sort like parasail windsurfer maybe could feature could factor decarbonization ship puzzle thanks,Positive
finally understand tech bc,Neutral
call cwazy couldnt submersible cargo vessel sail water isnt stable submerged,Negative
fascinating report graphic made much easier non scientist thank,Positive
wouldnt best use traditional sail way contact shenenigans,Negative
dire content yt social medium lately love vids like give hope humanity,Positive
advantage ship running ammonia shipping ammonia never run fuel,Positive
pirate caribbean feel like scifi movie watching video,Positive
worked great past given far weve come technologically reason cant improve arnold tech,Positive
ive often wondered sail made primarily small wind powered generator operate assisting propeller naturally working traditional sail well hasnt invented surely would reduce fuel cost,Negative
athu funnel alla wind energy use cheyan anu,Positive
wind free people would stupid take advantage fuel industry try slow tho,Positive
way see realistic way used attaching wind generator use power turn prop making coffee,Neutral
clipper hundred year ago go fast,Neutral
wind powered ship truly living future,Positive
using wind sail definitely great idea heading towards future global warming main headon issue entire globe shame use ancient technology try reverse engineer shake future mean thats learn history thats knowing history important,Positive
bonjour je pense quil serait bénéfique et préférable de faire de navires de type catamaran cela éviterait le problèmes de forte gîte pouvant mettre à mal le fixation de container et autres cargaisons,Neutral
id love see sail make big comeback ship,Positive
well valid test storm sail work,Positive
cargo ship account world carbon emission transferring world cargo food cement phone pc need radical change efficient engine hull paint enough keep ecofriendly mean transport cost something like immense make already extremely volatile business dry bulk shipping operates loss time cost time profit operating time profit generated either manage sell ship market high hard scrapping vessel end life,Positive
ship float water mean rise water,Neutral
arent getting ammonia sewage,Neutral
sure take long time get point,Positive
alors déjà j emde la communauté yt de la censure et ème arrêtez de mentir sur le co qui est absolument pa une cause du soit disant réchauffement de pieds nickelés de dav o quand même merde,Neutral
nuclear powered container ship,Neutral
might totally goofy maybe someone already done cant put wind generator deck run electric motor run ship even one deck,Neutral
cant imagine rotor efficient sail bc seems like sail would resistance turned thrust rotor would seem like theyd lose spinning wind resistance thrust seemingly would le spinning thing idk,Negative
fresh tea lol fresh opium would correct,Positive
wrong approach wind power goal build smaller unmanned cargo sailboat huge quantity industrial age always fueled business green alternative must approached skepticism look number theyre nothing virtue signaling project cost wealth generate cant stop china india pumping toxic fume youre asking bankrupt country nation prove competitive global business biggest hurdle dense green energy resource nuclear environmentalist,Negative
hybird sort could useful cant leave cargo sitting middle incapable movement due lack wind becalming real thing many died history gone becalmed wind aid available,Negative
fusion reactor,Neutral
using water soluble hydrocarbon methane methane could generated using anaerobic digester stored large volume ballast sucked needed would involve little change engine diesel engine run methane,Negative
talk nuclear naval ship already use used decade,Neutral
lay cable ocean internet cant lay electricity plug ship run electric power im saying grid ocean electricity couldnt run traveled route,Neutral
question efficiency gain rotor sail wing sail traditional sail,Positive
im betting small thorium reactor,Neutral
cant tell happy make football analogy us roberto carlos goal would say perhaps audience recognised happy,Negative
jaque custue experimented rigid aluminium sale seemed make sense,Negative
get back energy also success,Positive
craft experimented,Neutral
alternate fuel used monday wednesday friday mean alternative fuel,Neutral
shipping something china mainland europe transporting electric freight train transferred ship need moved across water unlikely world round shipping lane currently contested cause war therefore land transit make land transportation ultimately made done green also reduced ship time import export allowing competition green technology rather amount geopolitical cost,Negative
wish youd gone fuel saving technology compared cargo capacity sacrificed accommodate saving fuel well good mean youre using fuel per unit cargo overall,Positive
shipping already extremely efficient cost little usd move ft box weight around entire planet cargo ship extremely fuel efficient future transportation fleeting waste effort used justify cost completely unrelated project,Positive
completely forget kite,Negative
whatever happened water wave powered mechanism,Neutral
horizontal wind turbine roller type truck trailer container carrier generate electricity charge battery driveing day night,Neutral
better used passenger ship,Positive
oh yeahletd go backwards lol put sheet top pickup work good till hit hill put electric motor went dead got charging stationlol know studied history many sailor perished sea long season windthis green crap crap god put oil gas earth benefit cow meat everything else dont believe creator god dumb genesis first book bible say seed time harvest till return worship creation creator god ad,Positive
start moving towards foot powered car using town bedrock,Neutral
im sure there long way go designing electric motor adequate energy power output ratio wonder using solid state wind turbine provide powerstore power electric engine could option seems like could viable either tandem rotor sail,Positive
real madness idiocy electrolyze water produce hydrogen use hydrogen producing methane ethanol ammonia chemical torture money time waste use h directly internal combustion machine electricity generation,Negative
anything avoid relying le globalism thing never become better,Negative
one upside ammonia fuel dont need add odorant warn people leak come,Negative
good idea right reason green red,Positive
political leverage global techno marxism save oil,Positive
diesel engine provide valuable mineral bond composite material,Positive
hygrocarbons free energy produced microbe marcellus shale deposit environmentalism communism,Positive
nuclear powered cargo ship feasible choice eliminate oil use century,Neutral
bruh,Neutral
hi forty year ago loading replacement generator engine room forgot fully secure top awning behind funnel ship sailed next day wind pivoted awning onto back funnel following wind wait wind abated dropping back place calculated daily figure propeller slip changed showing positive effect sail made ship performance novelty cant understand ship dont cover upper deck solar panel container ship could roll flexible panel top container reduce fossil fuel use electrical load ex marine engineer,Positive
hi forty year ago ship engineer loading replacement generator forgot secure lop awning behind funnel sailed wind pivoted awning,Positive
eu nu aș face tracțiune în aer ci în apă efectul magnus nu la valuri de trosnește pânze de yole nu răstoarnă vasul turbină exa wind cu ax vertical se poate ridica telescopic ancore pale pompeazăaer comprimat acest aer comprimat este injectat întro rețea pe toată suprafața navei sub linia de plutire cu apă luată din fața navei asigură reacție în babord tribord sub formă de spumă ceea ce face frecarea mai mică sub navă va fi pompată apă fără aer altfel se scufundă ai și direcția dorită indiferent de direcția vântului,Neutral
lol really think sailing ship make comeback commercial shipping happening going stack literally thousand container high deck sail able catch wind sail would increase cost sailing vessel would need considerably larger crew depending number mast sailing ship could require crew least time larger diesel powered cargo ship negating fuel cost saving clipper ship replaced powered cargo ship latter faster could carry considerably cargo required le crew comparable size clipper ship also breeze stopped clipper ship remember term becalmed powered ship immune dream ship profitable carry certain amount cargo ship get bigger cost le run one ship carry container two smaller ship carry container four even smaller ship hold container wind powered cargo ship obsolete thing past return,Positive
wht ever wont pay tax either every single person pay tax wont pay tax,Positive
flettner inventer working machine savonius rotor still practical windbells,Neutral
think naive assume improve something past virtue general advance tech windjammer technically still cutting edge never developped seriously doubt see container sailing large scale viable alternatic use resource sea propell ship stroke diesel efficiently clean think,Positive
kind stuff need rather buy electric car,Positive
columbus would aww would thunk wind powering ship,Neutral
think next gen design ship expensive way going think go back sailing left sailing conversion take paid ship ask industry pay green upgrade give tax break wed learn work doesnt work real world oh bad clipper moving way le mass oh ive sailor since nd grade im father know bit sailing,Negative
cargo ship use bunker fuel produce higher emission fuel also cargo ship produce pollution car planet,Neutral
ship definition move water concept generating hydrogen solar wind energy using fuel wouldnt need fuel tank youre literally swimming huge one could use solar wind energy wind vice versa ocean oftentimes exhaust fume water vapor storage necessary tank small theyre enough getting next breeze use wind column shown let turned wind harvest additional power,Positive
cant aim increase efficiency political co bullshit,Negative
wish ship prettier,Positive
thank great content fascinated renewable energy well wish war ukraine would end could constructive together,Positive
anytime advancing science engineering name planet youre good mankind planet keep going please,Positive
old sail modern technological part cheap reliable require skilled labor low maintenance cost energy conversion loss,Negative
think heavy oil banned first engine would run diesel without upgrade changing diesel could happen without heavy disruption would lead adobtion,Negative
dont need air purifier get rid allergy go intermittent fasting ketogenic diet immune system dial back normal worked didnt even give carbs completely although sugar definite,Positive
thorium relatively cheap abundant could power ship decade oh yeah guess would deal radioactive metallic chemical,Positive
rotor sail technology grain silo idk could interesting farmer,Positive
get every time think channel think oh yeah thats right there another dude who double similar themed channel,Positive
know concept decade already yet progress,Positive
shoutout kth lab show prototype walk past often sometimes get see something interesting like,Positive
worth take wind energy,Positive
applause mr sorokin,Positive
great might problem see sail put sail vessel dont obstruct vessel function limit use sail couple ship type roro car carrier livestock cruise ship bulk carrier tanker container multi purpose vessel coaster tree primary vessel type would really benefit environmentally friendly form propulsion due loaded top sail would work multi purpose ship often already crane also kept mentioning klippers kn faster modern day shipping true sector sector mentioned pretty much modern container ship go knot traveling large distance ocean extremely large bulktankers vessel smallercoastal vessel go knot,Positive
nuclear energy density v cost drive adoption returning back wind regressive happen government mandated change,Positive
interesting concept let forget obvious way le emissionspollution global shipping le global shipping stop buying stuff dont need produce item locally possible repairsell instead throwing away know mean,Negative
cruiseferry finland sweden rotor sail year uninstalled saving fuel saving negligible compared maintenance cost,Neutral
sail clean burning whale oil wont smell anything aside whale ever,Positive
oh snap china invented sailing,Neutral
like idea wind better methanol ammonia cylinder great job looked small compared size ship maybe possible scale nuclear energy looked probably expensive know there lot small nuclear reactor developed maybe one smaller nuclear reactor combined wind would ideal,Positive
kite power light cheap lifting effect well,Positive
nuclear powered military vessel existed decade could easily make civilian version,Positive
oil started used really,Neutral
im seeing giant hydrogen filled sail pulling need supplying gas power ship wind easy make hydrogen sea water isnt,Positive
mean technology weve using thousand year future,Neutral
like nobody pay attention pirate caribbean,Positive
thought rather obvious alternative ship altogether electric rail already rail link china europe albeit much used moment see yiwulondon railway line wikipedia wiki yiwulondon_railwa mile russia continental america rather convenient stopoff halfway across diomede island rail tunnel bridging continent totally within technical ability mankind right seems problem ever politics,Neutral
old ship weighed ton modern fully loaded cargo ship weight ton,Neutral
remember back see prototype use kite sail aid navigation wonder project went,Neutral
also look bilge dumping probably worse pollution carbon pollution,Negative
wind propel ship century already like age mean,Positive
electric cargo ship using hydro power ship channel along hull turbine creating power motor problem solved,Positive
heard wind turbine ship arent already carrying cargo fact technology known even shaming really cant expect get serious government claim change climate going bad u one even make effort put technology place century invented,Negative
reduction noise ocean,Neutral
put shell ship protect cargo cover shell solar panel could also create foldaway fin made flexible solar panel generate power fair weather travel,Positive
wind based propulsion tricky containership need lot free space deck containercranes work need hurdle area maritime transport transporting liquid like fuel pumped tank carrying certain type bulk good depending mode loading unloading could done oldschool arent many reason economy scale crew wage relative fuel cost well slightly le consistent transport time would prevent use primarily sailpowered transport ship steam engine started used mid th century sailing transport remained viable well th century windjammer enjoying popularity wwii revisiting windjammer noncontainer transport wouldnt even far fetched obviously modern windjammer would require conventional auxiliary propulsion system probably combustion engine even could augmented say prop shaft isnt driven directly backup engine hybridelectric system array battery forming part ship ballast furthermore sail area surface area could potentially partially used capture solar energy reduce consumption combustible fuel auxiliary generator even moving sail large transport would still need keep light navigation communication system running,Positive
humanity grows learns use technology responsibly large ship nuclear,Neutral
package late wind,Neutral
many journalist take write pun,Neutral
imagine wing sail nice thing engine failure middle nowhere,Negative
say wind power work either compact nuclear energy navy use nuclear ship sub took around year new core small reactor use hybrid power,Positive
commenting watching video wind powered ship auxiliary power source assume,Neutral
