comment,sentiment
"Do you think looking at wind technologies like these is the way to go? Any other technologies worth looking into? Get Air Health's Skye for your home today! bit.ly/air-health.

If you liked this video, check out ""Why the Airship May Be the Future of Air Travel"" https://youtu.be/_phicOPoQT8?list=PLnTSM-ORSgi4SraAVSwM4jMTJxjDh0xpf",Positive
"Very cool video! The Neoliner Origin is another ship, unfortunately she sustained storm damage on her 1st voyage across the Atlantic Ocean, and that's why I made a highly detailed video about their rough crossing and what happened, from a deck officer's perspective. For those interested what happened, enjoy the new video on my channel :)",Positive
"Three years later, we are in 2025 and I still haven't seen this dream come through.",Negative
But they can't shop perishables or even cars as the cars would be obsolete before they finally made their destination.,Negative
I think using nuclear is better than wind if you want to like reduce carbon emission,Positive
Vacuum bomb in atmosphere,Negative
"8:07 Not  anEmo-i  but  A-nemee  (the stress on the ""A"")... ""Winds"" in Greek. ""oi"" is pronounced ""ee"" in Greek. 
Flettner-Rotors need a disc of aero-foils at each top and bottom, to unfold their potential, strange that they went for plain turning tubes, without even endplates (even if disc of aero-foils was too complicated, having endplates still helps a lot)",Neutral
It makes perfect sense. Old methods of sailing were inefficient as they didn’t take advantage of aerodynamic lift.   Modern systems with optimized electromechanical controls should be very efficient.  Especially kite based system that get well above the boundary layer.,Positive
"I’m giggling because you just said that wind power shipping technology is still in pilot stages!! Bro, we need to get Moana up here to show us how to move boats with wind.",Positive
"2050 = thank you for your amazon order, you package will arrive next year...",Positive
Is not a cross between hard sails and a Magnus effect generating rotating tower not the most efficient design if the aero physics work?,Positive
This would appear to raise the center of gravity closer to the center of Buoyancy decreasing the stability.,Neutral
"I wonder if a sort of sail-tug could work. I mean, it's like a kite but the ""kite"" stays floating on the water. The main cargo ship does not need any modification, or it could be designed with a smaller engine and fuel tanks.

Each sail-tug superficially looks like a tall sailboat, but there is no keel. Instead, lines to the cargo ship act like kite lines, and the cargo ship's entire hull acts like the ""keel"". Since the lines go horizontally to the cargo ship, there's no heeling even if the sail is very tall.

A sail-tug could be built with less initial investment, and could hook up to different unmodified cargo ship clients on the fly. It's even possible to ""skip"" the time needed to load/unload cargo, by detaching from a client ship about to unload cargo, and immediately hooking up with a different client ship that's departing.",Positive
Did you know that in 2024 people are devolving backwards it’s sad to see that some scientists in the world can be the dumbest people in the world to make wind powers boats and say it’s the future of transportation I would like to go back in time and tell our ancestors that this is what people are doing now a days,Negative
Full circle,Neutral
we have already the technology for shiping without creating any polultion its called nuclear power,Negative
I'm a sailing enthusiast but cargo ships only add 3% CO2 just for moving ALL THE GOODS WE CONSUME IN THE WORLD I think is a good and efficient way to move huge cargos..,Positive
"As soon as you went on a rant about your sponsor, I left the channel. There are enough commercials already!",Negative
Not a chance in hell,Negative
"You say lift on a wingsail comes from asymmetrical wingshape, this is untrue - a symmetrical wingshape also works. Think about aerobatic planes that fly upside down! They have symmetrical airfoils. The symmetrical airfoil produces plenty of lift - the B17 bomber of WW2 had a symmetrical wing and had no problem carrying heavy weights.",Negative
"""Cargo Ship sets sail to test Wind Power at Sea""
https://www.youtube.com/watch?v=EVdVGniJNgU",Neutral
"They might get a bonus from the government, but they might try something else.  If they put up a one hundred meter by one hundred meter sail in a 120 mph wind, there would be about one billion watts of wind energy trying to get through the ten thousand square meters of the sail area.  If they turned off the engine and sailed downwind, at 30%efficiency, the propeller might generate 300 million watts of electricity.  That is about 1.5 kg of hydrogen per second at 75% efficienct electrolysis. . If they kept a constant heading slightly towards the eye of the hurricane, they would gradualky get closer to the eye wall where the winds are stronger.  The hurricane would carry them for thousands of miles.
If the hurricane lasted ten days, they would generate about a million kg of hydrogen which is the equivalent of about 50,000 barrels of oil or the equivalent of about 20 days ofuel for a container ship.  With the waves always behind them, they would surf down the huge waves instead of slamming the bow into them.  At $10/kg they might make more money just sailing around in hurricanes and tropical storms and selling hydrogen  than they do delivering cargo.
Something much smaller than a cargo ship might accomplish this.  Two parallel cylinders maybe ten meters in diameter and two hundred meters long arranged like a catamaran migh work. With big fins and wing like structures, the two cylinders that are slightly bouyant could slide under the waves down to about 10 meters below the surface with just streamlined, narrow support structures slicing through the 100 foot  waves with little resistance or disturbance from the waves.  
The right kind of prpelkers on the submerged cylinders might get 30% effuciency ior 300 million watts from the available wind energy.  In a season with 10 hurricanes that woukd add up to about a hundred million dollars. Figuring  all of the tropical storms might bring it uo to 200 million.  100 such vessels might make  20 billion dollars wirth of hydrogen in one hurricane season.",Positive
10:44 wrong facts there about methanol,Negative
My thoughts are like this if it use wind but can it use Solarpanels too they became so light and could be easy implemented on such ship and the sea reflects the sun so it would be placed on both sites,Positive
"What about nuclear cargo shipping?😮😂
I th8nk wind power is more clean and cheaper…
But i knew nothing about shipping at all.😂",Positive
I think all out technological advances need to review old tech and make sure we haven't thrown the baby out with the bath water.,Positive
"There is a reason that sailing ships were relegated to tourist boats and historic ships in the worlds navies the moment there was an alternative to sail available.  Sail was gone. These ships although futuristic looking and pretty are infected by the same issues that original sail ships had and that is that thay all half developed bad ideas have amd most green tech has and that is that to use them we need to allow our society to decay and it simply isnt worth the price. From what I can see climate change is unprovable and all this backwards facing technology is pointless and it only exists to serve a half baked scientific theory that this is all half developed technology based on arguments that are so weak that governments have called it a settled science to avoid arguments and criticism. Climate isn't settled anything. It can not be proved without a time machine. Sailing ships are slow, inefficient, and unreliable as they can only sail when the wind blows. Sometimes, it simply dosent. Its just common sense to not to wish to go back and live in caves, so stop being silly woke children get better educated and just grow up!!",Negative
"No matter how much we try to reduce emission in maritime which contributes only 3%, we could never overcome climate change problem due to meat production which necessitates deforestation, transportation, packaging.",Negative
"The power of The Wind is Amazing  look at all The wasted power ....Why not use this God's free wind To push a Ship when the wind is going ""Your way""... WE THICK ITS COOOL THAT MOL CONTAINER SHIPS ROUTE PLANNERS PREPLAN A TRIP by the direction  of the tides &Wind",Positive
"Great innovative  Ideas ....Until they learn more Why not be different  and test a theory /Concepts...This and your ""Shows"" will only inspire more Concepts  to test ....😊😅😮😢🎉😂❤...Thanks for sharing ..........a new Concepts??...HOPEFULLY THEY TRY this neat Idea on the new Washington state FERRIES  new Hybrid  ferries..many GODS prayers 🙏....  😊😊❤❤❤❤",Positive
The amount of incorrect visuals in this video has my head spinning.,Neutral
"You mean to tell me that wind power is the past, present, and future of sea travel?",Neutral
I actually had to giggle when I read the title of this video. If someone believes that this is the future of ocean cargo transportation….well…..let’s just say I wouldn’t ride in a car that they were driving,Positive
Only in a post apocalyptic hellscape where people wear pants made of fish skin. No matter what wind technology you use you still come up against the same issues that caused the age of sail to end. Wind is unreliable and doesn't go where you want to very often.,Negative
"years ago I found wind sails that work sort of like a parasail for a windsurfer, maybe you could feature them, where they are and how they could factor into the decarbonization of ships puzzle.  Thanks!",Positive
They finally understand the tech from 3500bc,Neutral
